1, 1.0, 1, Base, 2008/09/23
2, 1.1, 2, Base 1_1, 2009/02/09
3, 1.5, 3, Cupcake, 2009/04/30
4, 1.6, 4, Donut, 2009/09/15
5, 2.0, 5, Eclair, 2009/10/26
6, 2.0.1, 6, Eclair 0_1, 2009/12/03
7, 2.1, 7, Eclair MR1, 2010/01/12
8, 2.2, 8, Froyo, 2010/05/20
9, 2.2.1, 8, Froyo, 2011/01/18
10, 2.2.2, 8, Froyo, 2010/01/22
11, 2.2.3, 8, Froyo, 2010/11/21
12, 2.3, 9, Gingerbread, 2010/12/06
13, 2.3.1, 9, Gingerbread, 2010/12/06
14, 2.3.2, 9, Gingerbread, 2011/01/01
15, 2.3.3, 10, Gingerbread MR1, 2011/02/09
16, 2.3.4, 10, Gingerbread MR1, 2011/04/28
17, 2.3.5, 10, Gingerbread MR1, 2011/07/25
18, 2.3.6, 10, Gingerbread MR1, 2011/09/02
19, 2.3.7, 10, Gingerbread MR1, 2011/09/21
20, 3.0, 11, Honeycomb, 2011/02/22
21, 3.1, 12, Honeycomb MR1, 2011/05/10
22, 3.2, 13, Honeycomb MR2, 2011/07/15
23, 3.2.1, 13, Honeycomb MR2, 2011/09/20
24, 3.2.2, 13, Honeycomb MR2, 2011/08/30
25, 3.2.3, 13, Honeycomb MR2, 2011/08/30
26, 3.2.4, 13, Honeycomb MR2, 2011/12/01
27, 3.2.5, 13, Honeycomb MR2, 2012/01/01
28, 3.2.6, 13, Honeycomb MR2, 2012/02/01
29, 4.0, 14, Ice Cream Sandwich, 2011/10/19
30, 4.0.1, 14, Ice Cream Sandwich, 2011/10/21
31, 4.0.2, 14, Ice Cream Sandwich, 2011/11/28
32, 4.0.3, 15, Ice Cream Sandwich MR1, 2011/12/16
33, 4.0.4, 15, Ice Cream Sandwich MR1, 2012/03/29
34, 4.1, 16, Jelly Bean, 2012/07/09
35, 4.1.1, 16, Jelly Bean, 2012/07/23
36, 4.1.2, 16, Jelly Bean, 2012/10/09
37, 4.2, 17, Jelly Bean MR1, 2012/11/13
38, 4.2.1, 17, Jelly Bean MR1, 2012/11/27
39, 4.2.2, 17, Jelly Bean MR1, 2013/02/11
40, 4.3, 18, Jelly Bean MR2, 2013/07/24
41, 4.3.1, 18, Jelly Bean MR2, 2013/10/03
42, 4.4, 19, KitKat, 2013/10/31
43, 4.4.1, 19, KitKat, 2013/12/05
44, 4.4.2, 19, KitKat, 2013/12/09

1001, 1.0, 1, Alpine, 2007/6/29
1002, 1.1, 1, Little Bear, 2007/6/29
1003, 1.1.1, 1, Snowbird, 2007/6/29
1004, 1.1.2, 1, Oktoberfest, 2007/6/29
1005, 2.0, 2, Big Bear, 2008/7/11
1006, 2.1, 2, Sugarbowl, 2008/9/12
1007, 2.1.1, 2, Sugarbowl, 2008/9/12
1008, 2.2, 2, Timberline, 2008/11/21
1009, 2.2.1, 2, Timberline, 2009/1/27
1010, 3.0, 3, Kirkwood, 2009/6/17
1011, 3.1, 3, Northstar, 2009/9/9
1012, 3.1.1, 3, Northstar, 2009/9/9
1013, 3.1.2, 3, Northstar, 2009/10/8
1014, 3.1.3, 3, Northstar, 2010/2/2
1015, 3.2, 3, Wildcat, 2010/4/3
1016, 3.2.1, 3, Wildcat, 2010/7/15
1017, 3.3.2, 3, Wildcat, 2010/8/11
1018, 4.1, 4, Apex, 2010/6/21
1019, 4.1.1, 4, Apex, 2010/7/15
1020, 4.1.2, 4, Apex, 2010/8/11
1021, 4.2, 4, Baker, 2010/9/8
1022, 4.3, 4, Jasper, 2010/9/8
1023, 4.3.1, 4, Jasper, 2010/11/22
1024, 4.3.5, 4, Phoenix, 2011/2/7
1025, 4.3.6, 4, Phoenix, 2011/2/10
1026, 4.3.7, 4, Phoenix, 2011/4/14
1027, 4.3.8, 4, Phoenix, 2011/5/4
1028, 4.3.9, 4, Phoenix, 2011/7/15
1029, 4.3.10, 4, Phoenix, 2011/7/25
1030, 4.4, 4, Durango, 2011/3/9
1031, 4.4.1, 4, Durango, 2011/3/25
1032, 4.4.2, 4, Durango, 2011/4/14
1033, 4.4.3, 4, Durango, 2011/5/4
1034, 4.4.4, 4, Durango, 2011/7/15
1035, 4.4.5, 4, Durango, 2011/7/25
1036, 5.1, 5, Telluride, 2011/10/12
1037, 5.1.1, 5, Telluride, 2011/11/10
1038, 5.2, 5, Hoodoo, 2012/3/8
1039, 5.2.1, 5, Hoodoo, 2012/5/8
1040, 6.1, 6, Sundance, 2012/9/19
1041, 6.1.1, 6, Sundance, 2012/11/1
1042, 6.1.2, 6, Sundance, 2012/12/19
1043, 6.2, 6, Sundance, 2013/1/29
1044, 6.2.1, 6, Sundance, 2013/2/12
1045, 6.2.2, 6, Sundance, 2013/2/20
1046, 6.2.3, 6, Sundance, 2013/3/20
1047, 6.2.4, 6, Sundance, 2013/5/3
1048, 6.2.5, 6, Sundance, 2013/11/14
1049, 6.2.6, 6, Sundance, 2014/2/21
1050, 7.1, 7, NA, 2013/9/18
1051, 7.1.1, 7, NA, 2013/9/20
1052, 7.1.2, 7, NA, 2013/9/26
1053, 7.1.3, 7, NA, 2013/10/23
1054, 7.1.4, 7, NA, 2013/11/14
1055, 7.1.5, 7, NA, 2014/1/29
1056, 7.1.6, 7, NA, 2014/2/21
1057, 7.2, 7, NA, 2014/3/11
